"id";"answer";"option1";"option2";"option3";"option4";"question";"course_id"
1;"TypeError: unsupported operand type(s) for +: 'int' and 'str'";"5hello";"hello5";"TypeError: unsupported operand type(s) for +: 'int' and 'str'";"10";"What is the output of the following Python code?  Python  x = 5 y = ""hello"" print(x + y)";1
2;"yth";"Pyt";"yth";"Yth";"Pyth";"What will the following code output?   my_string = ""Python"" print(my_string[1:4])";1
3;"character";"int";"float";"dictionary";"character";"Which of the following is NOT a core data type in Python?";1
4;"To ensure that certain code only runs when the script is executed directly, not when imported as a module.";"To define the main function of the script.";"To ensure that certain code only runs when the script is executed directly, not when imported as a module.";"To declare the entry point of the Python interpreter.";"It is used for exception handling in the main part of the script.";"What is the purpose of the if __name__ == ""__main__"": block in a Python script?";1
5;"Python uses dynamic typing, where the data type of a variable can change during runtime.";"Variables must be explicitly declared with their data type before assignment.";"Variable types are fixed once they are assigned a value.";"Python uses dynamic typing, where the data type of a variable can change during runtime.";"Variable names can start with any special character.";"Which of the following is true about Python's handling of variables?";1
6;"9";"6";"8";"9";"12";"What is the output of print(3 ** 2)?";9
7;"tuple";"list";"set";"tuple";"dictionary";"Which of the following is an immutable data type in Python?";9
8;"To define an empty block of code without causing an error.";"To indicate the end of a block of code.";"To skip the current iteration in a loop.";"To define an empty block of code without causing an error.";"To raise an exception.";"What is the purpose of the pass statement in Python?";9
9;"file = open(""my_file.txt"", ""r"")";"file = open(""my_file.txt"", ""w"")";"file = open(""my_file.txt"", ""r+"")";"file = open(""my_file.txt"", ""a"")";"file = open(""my_file.txt"", ""r"")";"Which of the following is the correct way to open a file named ""my_file.txt"" in read mode?";9
10;"<class 'list'>";"<class 'list'>";"list";"<type 'list'>";"array";"What is the output of print(type([1, 2]))?";9
11;"To improve collaboration and communication between development and operations teams, leading to faster and more reliable software delivery.";"To increase the workload of the operations team.";"To automate all software development processes.";"To improve collaboration and communication between development and operations teams, leading to faster and more reliable software delivery.";"To eliminate the need for manual testing.";"What is the primary goal of DevOps?";5
12;"Continuous integration and continuous delivery (CI/CD).";"Siloed team structures.";" Infrequent and large deployments.";"Continuous integration and continuous delivery (CI/CD).";"Manual infrastructure provisioning.";"Which of the following is a core principle of DevOps?";5
13;"Managing and provisioning infrastructure using code and automation tools.";"Writing code to manage application logic.";"Managing and provisioning infrastructure using code and automation tools.";"Documenting the physical hardware of the data center.";"Using low-code platforms for application development.";"What does ""Infrastructure as Code"" (IaC) refer to in the context of DevOps?";5
14;"Regularly merging code changes from multiple developers into a shared repository, followed by automated building and testing.";"Deploying new software versions to production frequently.";"Automating the testing of infrastructure code.";"Regularly merging code changes from multiple developers into a shared repository, followed by automated building and testing.";"Continuously monitoring the performance of production systems.";"Which of the following best describes ""Continuous Integration"" (CI)?";5
15;"To ensure that code changes are always in a deployable state and can be released to production quickly and reliably.";"To continuously monitor application logs for errors.";"To ensure that code changes are always in a deployable state and can be released to production quickly and reliably.";"To continuously gather feedback from end-users.";"To continuously train development and operations teams.";"What is the purpose of ""Continuous Delivery"" (CD)?";5
16;"To enable auto-configuration, component scanning, and Spring Boot's bootstrapping capabilities.";"To define a Spring bean.";"To configure the application context for testing.";"To enable auto-configuration, component scanning, and Spring Boot's bootstrapping capabilities.";"To map HTTP requests to controller methods.";"What is the primary purpose of the @SpringBootApplication annotation?";4
17;"GET";"POST";"PUT";"DELETE";"GET";"Which HTTP method is typically used to retrieve data from a RESTful API?";4
18;"Providing the dependencies of a class from an external source rather than creating them within the class.";"Injecting code directly into a class.";"Providing the dependencies of a class from an external source rather than creating them within the class.";"Injecting configuration properties into Spring beans.";"Automatically injecting exception handlers.";"What is Dependency Injection in the context of Spring Framework?";4
19;"@PostMapping";"@GetMapping";"@PutMapping";"@PostMapping";"@DeleteMapping";"Which annotation is used to map a method in a Spring MVC controller to a specific HTTP POST request?";4
20;"To provide a specification for managing relational data in Java applications.";"To define the API for creating user interfaces in Java.";"To provide a specification for managing relational data in Java applications.";"To handle security and authentication in Spring applications.";"To manage the lifecycle of Spring beans.";"What is the purpose of JPA (Java Persistence API)?";4
21;"Hyper Text Markup Language";"Hyper Text Markup Language";"High-level Text Manipulation Language";"Hyperlink Transfer Markup Language";" Home Tool Markup Language";"What does HTML stand for?";6
22;"<html>";"<head>";"<body>";"<html>";"<title>";"Which of the following is the root element of every HTML page?";6
23;"<title>";"<header>";"<heading>";"<title>";"<meta>";"Which tag is used to define the title of an HTML document, which is displayed in the browser's title bar or tab?";6
24;"<a>";"<link>";"<hyperlink>";"<a>";"<url>";"Which tag is used to create a hyperlink in HTML?";6
